state,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy,vehicle_class,vehicle_size
Washington,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Corporate L3,Two-Door Car,Medsize
Arizona,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Personal L3,Four-Door Car,Medsize
Nevada,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Personal L3,Two-Door Car,Medsize
California,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Corporate L2,SUV,Medsize
Washington,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Personal L1,Four-Door Car,Medsize
Oregon,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal L3,Two-Door Car,Medsize
Oregon,Basic,College,2011-02-24,Employed,F,Suburban,Married,Corporate L3,Four-Door Car,Medsize
Arizona,Premium,Master,2011-01-18,Unemployed,M,Urban,Single,Corporate L3,Four-Door Car,Medsize
Oregon,Basic,Bachelor,2011-01-26,Other,M,Suburban,Divorced,Corporate L3,Four-Door Car,Medsize
Oregon,Extended,College,2011-02-17,Employed,F,Urban,Married,Special L2,Four-Door Car,Medsize
California,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Personal L3,Four-Door Car,Small
California,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal L3,SUV,Medsize
California,Premium,Master,2011-02-06,Employed,M,Urban,Married,Corporate L1,Four-Door Car,Medsize
Arizona,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Corporate L3,SUV,Medsize
California,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate L3,Four-Door Car,Medsize
Oregon,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate L2,Four-Door Car,Medsize
Nevada,Basic,High School or Below,2011-02-06,Other,M,Suburban,Married,Personal L3,Two-Door Car,Medsize
California,Basic,College,2011-01-05,Other,M,Suburban,Married,Personal L2,SUV,Medsize
Oregon,Basic,College,2011-02-27,Employed,M,Urban,Married,Personal L2,Four-Door Car,Medsize
California,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Corporate L2,Four-Door Car,Small
Oregon,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Personal L2,Two-Door Car,Medsize
Washington,Extended,Bachelor,2011-01-21,Other,F,Suburban,Divorced,Personal L3,Four-Door Car,Medsize
Arizona,Basic,Bachelor,2011-01-26,Other,M,Suburban,Divorced,Personal L3,Four-Door Car,Medsize
Nevada,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Single,Corporate L3,Four-Door Car,Medsize
California,Basic,Bachelor,2011-02-05,Other,F,Suburban,Married,Corporate L2,Four-Door Car,Medsize
Oregon,Basic,College,2011-01-29,Employed,M,Suburban,Married,Personal L3,Four-Door Car,Large
California,Premium,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Personal L3,Four-Door Car,Small
Washington,Extended,Master,2011-02-12,Other,F,Urban,Married,Corporate L1,SUV,Medsize
Arizona,Premium,College,2011-02-02,Employed,F,Suburban,Single,Personal L3,Four-Door Car,Large
Oregon,Extended,Master,2011-02-07,Employed,F,Suburban,Married,Personal L3,Four-Door Car,Small
Arizona,Basic,College,2011-02-28,Employed,M,Suburban,Married,Personal L2,Four-Door Car,Small
Nevada,Extended,High School or Below,2011-01-22,Employed,M,Urban,Married,Corporate L2,Luxury,Medsize
California,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Personal L3,Four-Door Car,Medsize
Washington,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Corporate L2,Two-Door Car,Small
Oregon,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Corporate L1,Four-Door Car,Medsize
Arizona,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Personal L1,Four-Door Car,Medsize
California,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Personal L3,Four-Door Car,Small
Oregon,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Personal L3,Four-Door Car,Small
Oregon,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Personal L2,Two-Door Car,Small
Arizona,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Personal L3,Four-Door Car,Medsize
Nevada,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Corporate L3,Two-Door Car,Medsize
Oregon,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate L3,Two-Door Car,Medsize
California,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Personal L2,Four-Door Car,Small
